dolphin_id,entry,depart
D1038,1-Nov-1979,20-Jul-2016
D1082,1-Nov-1974,15-Jul-2016
D1223,6-Feb-2002,15-Jul-2016
D1456,8-Jul-2006,12-Jun-2016
D1071,1-Nov-1976,11-Jul-2016
D1031,3-Dec-1989,15-Jul-2016
D1022,7-May-1992,15-Jul-2016
D1110,1-Oct-1990,1-May-2011
D1397,28-Jan-2005,10-Jul-2016
D1235,1-Nov-1992,29-Sep-2015
D1033,1-Nov-1990,29-May-2016
D1020,10-Mar-1992,2-Jun-2016
D1048,1-Nov-1989,10-Jul-2016
D1363,4-Oct-2003,13-Jun-2016
D1581,24-Apr-2011,2-Dec-2015
D1454,3-Jun-2007,20-Jul-2016
D1072,30-Dec-1994,5-Jun-2016
D1008,1-Nov-1972,4-Apr-2005
D1006,1-Nov-1983,17-Jul-2008
D1039,1-Nov-1979,20-Jul-2016
D1551,1-May-2011,20-Jul-2016
D1172,12-Jul-2001,10-Jul-2016
D1236,19-Sep-1993,12-Jun-2016
D1093,1-Nov-1976,20-Jun-2015
D1492,12-Jun-2009,20-Jul-2016
D1083,1-Nov-1969,22-Nov-2005
D1013,1-Nov-1986,15-Jul-2016
D1494,30-Nov-2008,15-Jul-2016
D1079,1-Nov-1983,28-Jun-2016
D1284,15-Nov-1998,4-Aug-2007
D1001,1-Nov-1978,1-Feb-2008
D1021,1-May-1983,6-Dec-2010
D1010,1-Nov-1990,1-Oct-2008
D1068,1-Apr-1994,3-Dec-2015
D1307,11-Aug-2002,20-Jul-2016
D1017,1-Nov-1993,27-Jun-2016
D1405,11-Jun-2005,15-Jul-2016
D1009,19-Jan-1993,25-May-2016
D1496,7-Feb-2009,18-Jun-2016
D1014,1-Nov-1986,11-Jun-2016
D1092,29-Mar-1998,15-Jul-2016
D1119,24-Apr-1998,11-Jul-2016
D1043,1-Nov-1984,20-Jul-2016
D1000,1-May-1979,30-Jun-2015
D1044,1-Nov-1984,29-Nov-2013
D1054,1-Nov-1978,29-Nov-2013
D1049,1-Nov-1989,15-Jul-2016
D1088,1-Nov-1993,12-Jun-2016
D1018,1-Oct-1995,5-Jun-2015
D1377,2-Sep-2003,20-Jul-2016
D1003,5-Jun-1997,20-Jul-2016
D1085,1-Nov-1977,17-Jul-2009
D1032,1-Nov-1985,11-Jul-2016
D1051,1-Nov-1986,12-Jun-2016
D1042,1-Nov-1983,23-May-2013
D1002,1-Dec-1980,26-Jun-2016
D1034,1-Jan-1994,11-Jul-2016
D1084,1-Nov-1976,25-Nov-2014
D1309,18-Aug-2002,20-Jul-2016
D1045,1-Nov-1984,20-Jul-2016
D1678,12-Dec-2009,20-Jul-2016
D1011,1-Nov-1993,24-Jun-2008
D1030,9-Jul-1998,15-Jul-2016
D1543,15-Jul-2010,15-Jul-2016
D1005,21-May-1998,20-Jul-2016
D1059,1-Nov-1979,27-Jun-2011
D1016,10-Jul-1992,18-Jun-2016
D1308,15-Aug-2002,20-Jul-2016
D1476,16-Jul-2008,15-Jul-2016
D1052,1-Nov-1983,12-Jun-2016
D1029,15-Aug-1994,15-Jul-2016
D1161,10-Aug-2000,10-Jul-2016
D1040,1-Nov-1982,20-Jul-2016
D1320,2-Sep-2002,20-Jul-2016
D1411,15-Oct-2005,30-May-2016
D1078,27-Aug-1990,23-May-2016
