dolphin_id,dolphin_id,,dolphin_id_old_key,dolphin_id,dryad_id
454,NIC,,454,NIC,D1000
324,JFR,,324,JFR,D1001
531,PUC,,531,PUC,D1002
494,PIC,,494,PIC,D1003
674,UHF,,674,UHF,D1004
595,SKF,,595,SKF,D1005
494,PIC,,223,FLI,D1006
454,NIC,,433,MTS,D1007
531,PUC,,215,FAT,D1008
324,JFR,,378,LIC,D1009
595,SKF,,341,JSE,D1010
223,FLI,,577,SBO,D1011
433,MTS,,288,HKI,D1012
215,FAT,,306,IMP,D1013
378,LIC,,419,MOG,D1014
341,JSE,,622,SQU,D1015
577,SBO,,609,SMO,D1016
288,HKI,,368,LAN,D1017
674,UHF,,487,PEG,D1018
674,UHF,,390,LUC,D1019
306,IMP,,171,DEM,D1020
419,MOG,,338,JOY,D1021
622,SQU,,136,COO,D1022
674,UHF,,371,LAU,D1023
609,SMO,,6,AJA,D1024
368,LAN,,293,HOR,D1025
487,PEG,,682,VAX,D1026
531,PUC,,701,WBE,D1027
390,LUC,,173,DID,D1028
324,JFR,,677,URC,D1029
531,PUC,,587,SHC,D1030
609,SMO,,109,CEB,D1031
454,NIC,,511,PON,D1032
171,DEM,,170,DEE,D1033
324,JFR,,537,QUA,D1034
494,PIC,,407,MID,D1035
622,SQU,,409,MIN,D1036
674,UHF,,39,BAR,D1037
378,LIC,,56,BIG,D1038
487,PEG,,232,FRE,D1039
341,JSE,,696,WAB,D1040
577,SBO,,363,KRO,D1041
595,SKF,,519,PRI,D1042
288,HKI,,446,NAT,D1043
338,JOY,,461,NOG,D1044
223,FLI,,557,RID,D1045
378,LIC,,596,SKI,D1046
136,COO,,79,BOL,D1047
341,JSE,,179,DNG,D1048
577,SBO,,481,PAS,D1049
371,LAU,,436,MUN,D1050
454,NIC,,512,POO,D1051
531,PUC,,630,SUR,D1052
487,PEG,,704,WED,D1053
494,PIC,,462,NOO,D1054
595,SKF,,621,SPU,D1055
6,AJA,,169,DEB,D1056
293,HOR,,611,SMU,D1057
682,VAX,,670,TWI,D1058
701,WBE,,601,SLI,D1059
173,DID,,284,HHD,D1060
324,JFR,,278,HAR,D1061
378,LIC,,424,MRL,D1062
609,SMO,,260,GNA,D1063
677,URC,,693,VOR,D1064
587,SHC,,254,GHE,D1065
109,CEB,,201,EED,D1066
577,SBO,,41,BAY,D1067
324,JFR,,353,KIT,D1068
494,PIC,,147,CRV,D1069
622,SQU,,435,MUM,D1070
378,LIC,,102,BYT,D1071
609,SMO,,199,EDG,D1072
487,PEG,,285,HIB,D1073
341,JSE,,143,CRC,D1074
338,JOY,,620,SPO,D1075
288,HKI,,268,GRG,D1076
171,DEM,,671,TWO,D1077
390,LUC,,737,ZIP,D1078
674,UHF,,317,JAS,D1079
487,PEG,,59,BJA,D1080
595,SKF,,729,WYL,D1081
454,NIC,,63,BLI,D1082
531,PUC,,287,HII,D1083
494,PIC,,550,REA,D1084
595,SKF,,509,POI,D1085
511,PON,,202,EFT,D1086
109,CEB,,281,HED,D1087
170,DEE,,484,PCT,D1088
537,QUA,,526,PSU,D1089
407,MID,,738,ZOE,D1090
609,SMO,,719,WNG,D1091
324,JFR,,421,MOU,D1092
368,LAN,,274,GUM,D1093
487,PEG,,219,FEA,D1094
341,JSE,,214,FAR,D1095
